Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
146ca7c8-be75-f1bc-9e9b-c56a5caa5842,1995-12-30,,999-80-9624,S99917643,X66341700X,Mr.,Phil587,,Pacocha935,,,M,black,nonhispanic,M,Sandwich  Massachusetts  US,700 Haley Spur,East Longmeadow,Massachusetts,Hampden County,,00000,42.028286573524746,-72.49705905182407,74899.55,10475.60,876903
5b0065a1-f616-5871-5939-075d1006d277,1973-02-23,,999-81-7925,S99986208,X49312881X,Mr.,Norberto865,,Paucek755,,,D,white,nonhispanic,M,Methuen  Massachusetts  US,254 Block Byway,Malden,Massachusetts,Middlesex County,25017,02155,42.454510643949064,-71.12446280895979,138979.05,55016.58,808564
498e42ed-7810-d8d5-bd1d-3b74900a6b60,2008-03-30,,999-37-4769,S99943993,,,Frederic454,Connie24,Tillman293,,,,white,nonhispanic,M,Boston  Massachusetts  US,198 Rath Green Suite 11,Northampton,Massachusetts,Hampshire County,25015,01062,42.30762657200838,-72.64385659659533,62628.60,20839.84,27403
c405a320-49d4-df4d-3997-35cbea2aa90f,1991-09-06,,999-28-2228,S99928098,X89582336X,Mrs.,Yer774,Ruby458,Hammes673,,Boyle917,M,other,nonhispanic,F,Marlborough  Massachusetts  US,894 VonRueden Well,Shrewsbury,Massachusetts,Worcester County,,00000,42.30042784841666,-71.75839605062718,193696.50,294500.10,66272
26f41c1a-c3e6-cfa7-dbd7-64d442d1aef8,2023-04-30,,999-63-5951,,,,Joey457,So684,Macejkovic424,,,,white,nonhispanic,F,Lynnfield  Massachusetts  US,107 Bruen Esplanade,Ludlow,Massachusetts,Hampden County,,00000,42.225858354536086,-72.48677195574777,14201.62,0.00,50353
5d38ce26-0499-782b-7c53-02b9382dda4e,1987-06-21,,999-46-6763,S99927087,X84947223X,Mrs.,Marnie892,Jovita355,Kuphal363,,Lockman863,W,white,nonhispanic,F,Worcester  Massachusetts  US,808 Strosin Corner Apt 32,Tewksbury,Massachusetts,Middlesex County,,00000,42.614437172981035,-71.21901403472029,218153.88,680038.42,73684
cd1812c1-21c3-e70e-c635-fec819c488aa,1947-11-07,,999-71-5044,S99951898,X62372693X,Mrs.,Marquetta382,Maryetta775,Cole117,,Cassin499,D,white,nonhispanic,F,Bedford  Massachusetts  US,798 Mitchell Trail,Williamsburg,Massachusetts,Hampshire County,,00000,42.405870362691715,-72.77069790867051,20348.41,795741.58,14967
144e072e-a711-fed8-209b-ec2f4f5086ff,1958-11-09,,999-98-3223,S99921914,X50494374X,Mr.,Demetrius568,Trent525,Dach178,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,827 Gislason Key Suite 49,Marlborough,Massachusetts,Middlesex County,25017,01752,42.31673618010357,-71.56239653666357,243844.82,92298.47,121219
66c0bf19-95f7-4f65-3d75-9f9caa271d44,2017-07-14,,999-75-1454,,,,Timothy142,,Moen819,,,,white,nonhispanic,M,Malden  Massachusetts  US,602 Rath Mission Unit 9,Gardner,Massachusetts,Worcester County,25027,01440,42.56192386831916,-71.96772846992701,18646.73,1072.28,43476
b5a6b61d-0362-903e-866d-456aba35bc72,1958-06-09,,999-66-5377,S99918876,X31512767X,Mr.,Ozzie259,Sylvester827,Morar593,,,M,black,nonhispanic,M,Pittsfield  Massachusetts  US,462 Schroeder Vista Suite 65,Boston,Massachusetts,Suffolk County,25025,02126,42.36872779449164,-71.10851173036242,18477.02,403459.69,13224
